"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"SL05_5_RC5_01_4284"	"SL05_10_RD2_01_4361"	"SL05_2_RC2_01_4250"	"SL05_11_RD3_01_4382"	"SL05_5_RC5_01_4366"	"SL05_7_RC7_01_4311"	"SL05_3_RC3_01_4293"	"SL05_14_RD6_01_4381"	"SL05_13_RD5_01_4392"	"SL05_1_RC1_01_4341"	"SL05_15_RD7_01_4337"	"SL05_4_RC4_01_4268"	"SL05_10_RD2_01_4279"	"SL05_6_RC6_01_4358"	"SL05_7_RC7_01_4393"	"SL05_12_RD4_01_4247"	"SL05_15_RD7_01_4255"	"SL05_13_RD5_01_4310"	"SL05_9_RD1_01_4260"	"SL05_11_RD3_01_4300"	"SL05_3_RC3_01_4375"	"SL05_6_RC6_01_4276"	"SL05_14_RD6_01_4299"	"SL05_2_RC2_01_4332"	"SL05_12_RD4_01_4329"	"SL05_8_RC8_01_4377"	"SL05_8_RC8_01_4295"	"SL05_4_RC4_01_4350"	"SL05_1_RC1_01_4259"	"SL05_9_RD1_01_4342"
""	""	""	""	"26_868.50_676"	"868.5"	""	""	""	"676.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"3.5576228E7"	"2009143.625"	"1805885.375"	"3977232.5"	"1.0060223E7"	"3.4814104E7"	"2.3268346E7"	"8362.417969"	"48261.04688"	"5048801.5"	"36493.54297"	"3.3712992E7"	"1.7011626E7"	"8557498.0"	"7679071.5"	"4121101.5"	"130655.1484"	"492634.7188"	"2.1143292E7"	"2.7729448E7"	"2973847.75"	"3.5009088E7"	"60195.42188"	"346931.0625"	"586780.3125"	"100878.5938"	"859547.5"	"1.2800272E7"	"2.7531108E7"	"3445771.25"
""	""	""	""	"27_884.50_676"	"884.5"	""	""	""	"676.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"1980361.0"	"1674270.5"	"3.0333236E7"	"328149.25"	"339906.9375"	"2305926.0"	"1.2200876E7"	"5350930.5"	"1358110.0"	"3765868.0"	"0.0"	"3362833.0"	"1.4485796E7"	"360438.5938"	"301794.1875"	"3725095.25"	"6918.579102"	"1.7710598E7"	"1.753381E7"	"3207634.0"	"1415340.5"	"2191545.25"	"2.9016102E7"	"8060597.0"	"516827.5625"	"3027462.5"	"2.5333824E7"	"699414.6875"	"2.1202962E7"	"2816431.0"
""	""	""	""	"28_722.44_686"	"722.44"	""	""	""	"686.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"62807.39063"	"0.0"	"24796.40234"	"38771.08203"	"10033.09766"	"672938.875"	"20275.35547"	"0.0"	"0.0"	"7199.760742"	"0.0"	"254766.6563"	"14034.85547"	"53646.14844"	"78036.14844"	"0.0"	"3507.595459"	"0.0"	"111403.9375"	"355597.875"	"0.0"	"334532.5625"	"0.0"	"5838.317383"	"0.0"	"9298.020508"	"74841.26563"	"49816.48047"	"47336.14453"	"22447.80469"
""	""	""	""	"29_576.39_688"	"576.39"	""	""	""	"688.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"169451.5156"	"344754.5313"	"3002644.75"	"38551.22266"	"25177.03516"	"471346.8438"	"4555204.0"	"715416.6875"	"243081.875"	"337439.2188"	"0.0"	"432448.5313"	"2662975.75"	"27336.29688"	"48753.98438"	"3101284.0"	"19969.29492"	"2348782.0"	"3943545.0"	"377177.9063"	"551855.75"	"274690.125"	"6048432.0"	"443818.9688"	"507546.375"	"567436.75"	"6278980.0"	"64135.00391"	"2353364.0"	"590521.25"
""	""	""	""	"30_870.52_691"	"870.52"	""	""	""	"691.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"0.0"	"0.0"	"11311.39844"	"0.0"	"0.0"	"0.0"	"18787.30078"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"8054.1875"	"0.0"	"0.0"	"6583323.5"	"0.0"	"0.0"	"14603.02539"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"966687.625"	"0.0"	"23419.72852"	"0.0"	"10198.13379"	"0.0"
""	""	""	""	"31_868.50_698"	"868.5"	""	""	""	"698.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"5497749.5"	"2459698.75"	"3.5849984E7"	"228317.9063"	"544813.75"	"5754263.5"	"2.3889162E7"	"175761.4531"	"1769778.375"	"5551007.5"	"4520.187012"	"6035715.0"	"2.123189E7"	"466589.7188"	"428614.375"	"5784422.0"	"14227.82617"	"2.0951398E7"	"2.3607586E7"	"2493956.5"	"3212020.75"	"4469481.0"	"1276495.25"	"1.4364989E7"	"768728.375"	"77859.19531"	"653499.9375"	"696148.3125"	"2.8632806E7"	"4010037.0"
""	""	""	""	"32_739.42_702"	"739.42"	""	""	""	"702.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"49069.4375"	"5989.860352"	"167512.625"	"14137.55078"	"39431.89063"	"59288.24219"	"176085.25"	"6076.602539"	"0.0"	"12038.10156"	"0.0"	"564262.8125"	"87383.6875"	"39897.33594"	"8624.460938"	"0.0"	"0.0"	"36326.98047"	"162335.2969"	"185068.5625"	"11317.25098"	"384416.875"	"43443.17969"	"18723.27148"	"0.0"	"7964.236328"	"137140.4063"	"77233.00781"	"179610.0469"	"11243.23731"
""	""	""	""	"33_578.40_707"	"578.4"	""	""	""	"707.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"9444.998047"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.7229992E7"	"0.0"	"94925.36719"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"7182004.5"	"12116.65234"	"160377.125"	"0.0"	"0.0"	"0.0"
""	""	""	""	"34_739.42_710"	"739.42"	""	""	""	"710.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"349502.1875"	"0.0"	"0.0"	"0.0"	"41443.84375"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"24221.42578"	"2743.253418"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
""	""	""	""	"35_870.52_713"	"870.52"	""	""	""	"713.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"5654.839844"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.2677492E7"	"0.0"	"43067.91016"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1323590.625"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
""	""	""	""	"36_1063.53_715"	"1063.53"	""	""	""	"715.0"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/45834"	"Solanum dulcamara"	""	""	""	""	""	""	""	""	""	"86419.73438"	"0.0"	"13909.41016"	"0.0"	"0.0"	"126377.1484"	"28731.32031"	"0.0"	"0.0"	"0.0"	"0.0"	"529392.1875"	"13743.08106"	"0.0"	"0.0"	"8571.064453"	"0.0"	"1723.265869"	"13755.51074"	"104023.1563"	"0.0"	"75256.74219"	"5134.208008"	"0.0"	"0.0"	"0.0"	"28670.50195"	"0.0"	"44264.82813"	"0.0"
